Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real
2010,1,201001,Adelaide,Brisbane,Adelaide - Brisbane,208,317.2436975
2010,1,201001,Adelaide,Canberra,Adelaide - Canberra,258,393.5042017
2010,1,201001,Adelaide,Darwin,Adelaide - Darwin,358,546.0252101
2010,1,201001,Adelaide,Gold Coast,Adelaide - Gold Coast,128,195.2268908
2010,1,201001,Adelaide,Melbourne,Adelaide - Melbourne,86,131.1680672
2010,1,201001,Adelaide,Perth,Adelaide - Perth,288,439.2605042
2010,1,201001,Adelaide,Port Lincoln,Adelaide - Port Lincoln,212.85,324.6409664
2010,1,201001,Adelaide,Sydney,Adelaide - Sydney,116,176.9243697
2010,1,201001,Albury,Sydney,Albury - Sydney,133,202.8529412
2010,1,201001,Alice Springs,Darwin,Alice Springs - Darwin,428,652.789916
2010,1,201001,Alice Springs,Melbourne,Alice Springs - Melbourne,166,253.1848739
2010,1,201001,Alice Springs,Sydney,Alice Springs - Sydney,458,698.5462185
2010,1,201001,Avalon,Brisbane,Avalon - Brisbane,158,240.9831933
2010,1,201001,Avalon,Sydney,Avalon - Sydney,78,118.9663866
2010,1,201001,Ayers Rock,Cairns,Ayers Rock - Cairns,628,957.8319328
2010,1,201001,Ayers Rock,Sydney,Ayers Rock - Sydney,618,942.5798319
2010,1,201001,Ballina,Sydney,Ballina - Sydney,148,225.7310924
2010,1,201001,Brisbane,Cairns,Brisbane - Cairns,188,286.7394958
2010,1,201001,Brisbane,Canberra,Brisbane - Canberra,158,240.9831933
2010,1,201001,Brisbane,Darwin,Brisbane - Darwin,258,393.5042017
2010,1,201001,Brisbane,Emerald,Brisbane - Emerald,365,556.7016807
2010,1,201001,Brisbane,Gladstone,Brisbane - Gladstone,224,341.6470588
2010,1,201001,Brisbane,Hamilton Island,Brisbane - Hamilton Island,120,183.0252101
2010,1,201001,Brisbane,Hobart,Brisbane - Hobart,348,530.7731092
2010,1,201001,Brisbane,Mackay,Brisbane - Mackay,108,164.7226891
2010,1,201001,Brisbane,Melbourne,Brisbane - Melbourne,218,332.4957983
2010,1,201001,Brisbane,Mount Isa,Brisbane - Mount Isa,471,718.3739496
2010,1,201001,Brisbane,Perth,Brisbane - Perth,438,668.0420168
2010,1,201001,Brisbane,Proserpine,Brisbane - Proserpine,128,195.2268908
2010,1,201001,Brisbane,Rockhampton,Brisbane - Rockhampton,87,132.6932773
2010,1,201001,Brisbane,Sydney,Brisbane - Sydney,128,195.2268908
