,CITY,REVENUE,TOTAL RPKs,TOTAL AVAILABLE SEATS,TOTAL ASKs,REV PAX LF%,A/C TRIPS
1,Melbourne - Sydney,"8,055,760","5,712,127,417","9,402,975","6,666,504,348",85.7,"53,987"
2,Brisbane - Sydney,"4,358,778","3,282,159,834","5,035,483","3,791,718,699",86.6,"30,217"
3,Brisbane - Melbourne,"3,552,951","4,911,161,850","4,126,519","5,703,923,796",86.1,"24,824"
4,Gold Coast - Sydney,"2,465,829","1,676,763,720","2,805,233","1,907,558,440",87.9,"15,930"
5,Adelaide - Melbourne,"2,323,680","1,494,126,240","2,721,960","1,750,220,280",85.4,"16,235"
6,Gold Coast - Melbourne,"2,106,606","2,808,189,122","2,368,246","3,156,800,333",89,"12,794"
7,Melbourne - Perth,"2,066,194","5,591,120,964","2,395,334","6,481,773,804",86.3,"13,326"
8,Adelaide - Sydney,"1,890,067","2,205,708,189","2,284,814","2,666,377,938",82.7,"13,463"
9,Perth - Sydney,"1,717,855","5,641,435,820","1,990,491","6,536,772,444",86.3,"10,571"
10,Hobart - Melbourne,"1,423,274","879,583,332","1,636,724","1,011,495,432",87,"9,505"
11,Brisbane - Cairns,"1,306,075","1,816,750,325","1,487,547","2,069,177,877",87.8,"10,531"
12,Brisbane - Perth,"1,127,632","4,076,389,680","1,323,387","4,784,044,005",85.2,"7,582"
13,Canberra - Melbourne,"984,722","462,819,340","1,274,505","599,017,350",77.3,"8,202"
14,Brisbane - Townsville,"964,886","1,072,953,232","1,151,675","1,280,662,600",83.8,"9,048"
15,Cairns - Sydney,"917,860","1,809,102,060","1,039,399","2,048,655,429",88.3,"5,574"
16,Launceston - Melbourne,"870,258","414,242,808","1,020,685","485,846,060",85.3,"7,518"
17,Adelaide - Brisbane,"863,550","1,400,678,100","1,014,610","1,645,697,420",85.1,"7,827"
18,Cairns - Melbourne,"855,996","1,978,206,756","985,837","2,278,269,307",86.8,"5,126"
19,Hobart - Sydney,"830,126","862,500,914","984,994","1,023,408,766",84.3,"5,667"
20,Brisbane - Mackay,"783,034","624,078,098","989,190","788,384,430",79.2,"7,410"
21,Sunshine Coast - Sydney,"780,350","653,152,950","918,768","769,008,816",84.9,"5,109"
