Route,Departing Port,Arriving Port,Airline,Month,Sectors Scheduled,Sectors Flown,Cancellations,Departures On Time,Arrivals On Time,Departures Delayed,Arrivals Delayed,"OnTime Departures 
(%)","OnTime Arrivals 
(%)","Cancellations 

(%)",,,,,,
Adelaide-Alice Springs,Adelaide,Alice Springs,All Airlines,2024-25,661,658,3,533,536,125,122,81.0,81.5,0.5,,,,,,
Adelaide-Alice Springs,Adelaide,Alice Springs,QantasLink,2024-25,504,501,3,422,416,79,85,84.2,83.0,0.6,,,,,,
Adelaide-Alice Springs,Adelaide,Alice Springs,Virgin Australia,2024-25,157,157,0,111,120,46,37,70.7,76.4,0.0,,,,,,
Adelaide-Brisbane,Adelaide,Brisbane,All Airlines,2024-25,3876,3806,70,2981,3019,825,787,78.3,79.3,1.8,,,,,,
Adelaide-Brisbane,Adelaide,Brisbane,Jetstar,2024-25,443,439,4,330,333,109,106,75.2,75.9,0.9,,,,,,
Adelaide-Brisbane,Adelaide,Brisbane,QantasLink,2024-25,1875,1842,33,1436,1433,406,409,78.0,77.8,1.8,,,,,,
Adelaide-Brisbane,Adelaide,Brisbane,Rex Airlines,2024-25,35,29,6,27,28,2,1,93.1,96.6,17.1,,,,,,
Adelaide-Brisbane,Adelaide,Brisbane,Virgin Australia,2024-25,1523,1496,27,1188,1225,308,271,79.4,81.9,1.8,,,,,,
Adelaide-Canberra,Adelaide,Canberra,All Airlines,2024-25,1251,1238,13,1026,1014,212,224,82.9,81.9,1.0,,,,,,
Adelaide-Canberra,Adelaide,Canberra,QantasLink,2024-25,1041,1032,9,885,869,147,163,85.8,84.2,0.9,,,,,,
Adelaide-Canberra,Adelaide,Canberra,Virgin Australia,2024-25,210,206,4,141,145,65,61,68.4,70.4,1.9,,,,,,
Adelaide-Gold Coast,Adelaide,Gold Coast,All Airlines,2024-25,798,789,9,679,671,110,118,86.1,85.0,1.1,,,,,,
Adelaide-Gold Coast,Adelaide,Gold Coast,Jetstar,2024-25,366,362,4,319,304,43,58,88.1,84.0,1.1,,,,,,
Adelaide-Gold Coast,Adelaide,Gold Coast,QantasLink,2024-25,33,33,0,26,27,7,6,78.8,81.8,0.0,,,,,,
Adelaide-Gold Coast,Adelaide,Gold Coast,Virgin Australia,2024-25,399,394,5,334,340,60,54,84.8,86.3,1.3,,,,,,
Adelaide-Melbourne,Adelaide,Melbourne,All Airlines,2024-25,7798,7703,95,5873,6014,1830,1689,76.2,78.1,1.2,,,,,,
