Route,Total_Passengers,Avg_Load_Factor,Total_Flights
MEL-SYD,8116,85.18333333,48
BNE-SYD,4377,85.95833333,24
BNE-MEL,3641,84.825,22
OOL-SYD,2520,87.89166667,12
ADL-MEL,2390,83.9,12
MEL-OOL,2142,88.13333333,4608
MEL-PER,2104,86.58333333,1004
ADL-SYD,1898,81.65,12
PER-SYD,1743,85.35833333,9896
HBA-MEL,1454,86.45833333,9722
BNE-CNS,1308,87.06666667,9869
BNE-PER,1135,84.36666667,7649
BNE-TSV,985,82.64166667,9167
CBR-MEL,972,76.51666667,8324
CNS-SYD,921,88.65,5595
LST-MEL,893,85.85,7756
CNS-MEL,873,85.43333333,5328
ADL-BNE,868,84.225,7987
HBA-SYD,830,85.3,5645
BNE-MKY,816,76.51666667,7872
